Property	Property Value
CPLDefaultDownload	Default
iCloudPhotoLibraryHasBeenEnabledAccountIdentifiers	['AAA3EB7E-485D-4C71-93D7-7C0CF8E04464']
lastHighlightTitlesUpdateDate	2022-02-14 16:50:14.120496
iCloudPhotoLibraryLastResetWelcomePromptDBVersion	12200
DiskSpaceWasLow	False
cloudPhotosPaused	True
